,reactions
1521,[CH2:34]([CH3:33])[N:35]([CH2:36][CH3:37])[CH2:38][CH3:39].[CH2:13]1[CH2:12][N:11]([CH2:16][CH2:15][CH:14]1[S:17](=[O:18])(=[O:19])[C:20]=2[CH:25]=[CH:24][C:23]([CH2:26][OH:32])=[CH:22][CH:21]=2)[CH2:10][CH2:9][C:3]3=[C:2]([F:1])[CH:7]=[C:6]([F:8])[CH:5]=[CH:4]3.[N:29]=1[NH:28][N:27]=[CH:31][N:30]=1.[O:43]=[S:41](=[O:44])([CH3:40])[Cl:42].[Cs+:51].[Cs+:52].[I-:46].[Na+:45].[O-:49][C:48]([O-:47])=[O:50]>>[O:18]=[S:17](=[O:19])([C:20]1=[CH:21][CH:22]=[C:23]([CH2:26][N:27]2[CH:31]=[N:30][N:29]=[N:28]2)[CH:24]=[CH:25]1)[CH:14]3[CH2:13][CH2:12][N:11]([CH2:16][CH2:15]3)[CH2:10][CH2:9][C:3]4=[CH:4][CH:5]=[C:6]([F:8])[CH:7]=[C:2]4[F:1]
1522,[CH4:33].[C:19]1(=[CH:20][CH:21]=[CH:22][CH:23]=[CH:24]1)[C:18]([NH:25][NH2:26])=[O:27].[CH3:28][N:29]([CH3:30])[CH:31]=[O:32].[N:4]1=[C:3]([C:16]#[N:17])[C:2](=[N:7][CH:6]=[C:5]1[C:8]=2[CH:13]=[CH:12][CH:11]=[C:10]([CH:9]=2)[CH2:14][OH:15])[NH2:1]>>[N:4]1=[C:5]([C:8]2=[CH:13][CH:12]=[CH:11][C:10]([CH2:14][OH:15])=[CH:9]2)[CH:6]=[N:7][C:2](=[C:3]1[C:16]=3[NH:17][C:18](=[N:25][N:26]=3)[C:19]4=[CH:20][CH:21]=[CH:22][CH:23]=[CH:24]4)[NH2:1]
1523,[Br:1][C:2]=1[N:11]=[C:10]([C:9](=[C:8]2[C:3]=1[CH:4]=[CH:5][CH:6]=[N:7]2)[OH:14])[C:12]#[N:13].[C:23]([NH:24][NH2:25])([CH2:22][C:19]1=[CH:18][CH:17]=[C:16]([CH:21]=[CH:20]1)[F:15])=[O:26].[CH2:27]1[CH2:28][O:29][CH2:30][CH2:31][O:32]1>>[C:23]=1([NH:13][C:12](=[N:25][N:24]=1)[C:10]2=[N:11][C:2](=[C:3]3[CH:4]=[CH:5][CH:6]=[N:7][C:8]3=[C:9]2[OH:14])[Br:1])[CH2:22][C:19]4=[CH:18][CH:17]=[C:16]([CH:21]=[CH:20]4)[F:15]
1524,[CH3:27][C:26]([CH3:28])([CH3:29])[O:25][C:23](=[O:24])[N:19]1[CH:18]([C:17](=[O:30])[NH:15][NH2:16])[CH2:22][CH2:21][CH2:20]1.[O:2]([CH3:1])[C:3]=1[CH:4]=[C:5]([O:6][CH2:7][C:8]#[N:9])[CH:10]=[CH:11][C:12]=1[O:13][CH3:14].[K+:35].[K+:36].[O-:33][C:32]([O-:31])=[O:34]>>[CH3:27][C:26]([CH3:28])([CH3:29])[O:25][C:23]([N:19]1[CH2:20][CH2:21][CH2:22][CH:18]1[C:17]2=[N:15][N:16]=[C:8]([CH2:7][O:6][C:5]=3[CH:10]=[CH:11][C:12]([O:13][CH3:14])=[C:3]([CH:4]=3)[O:2][CH3:1])[NH:9]2)=[O:24]
1525,[C:30]([CH3:29])(=[O:32])[OH:31].[CH:5]1=[CH:6][N:1]=[C:2]([CH:3]=[N:4]1)[C:7]#[N:8].[CH3:22][C:21]([CH3:24])([CH3:23])[O:20][C:18](=[O:19])[N:15]1[CH2:16][CH2:17][CH:12]([CH2:13][CH2:14]1)[C:11]([NH:9][NH2:10])=[O:28].[CH3:25][O-:26].[Na+:27]>>[CH3:22][C:21]([CH3:24])([CH3:23])[O:20][C:18](=[O:19])[N:15]1[CH2:16][CH2:17][CH:12]([CH2:13][CH2:14]1)[C:11]=2[NH:8][C:7](=[N:10][N:9]=2)[C:2]=3[CH:3]=[N:4][CH:5]=[CH:6][N:1]=3
1526,[CH2:25]1[CH2:26][CH:24]1[C:18]=2[C:16]=3[CH2:17][N:12]([C:13]([NH:14][C:15]=3[CH:21]=[C:20]([C:22]#[N:23])[N:19]=2)=[O:27])[C:11]4=[CH:10][C:9]5=[C:4]([CH:3]=[C:2]4[Cl:1])[CH2:5][CH2:6][CH:7]([C:28]6=[N:29][CH:30]=[CH:31][CH:32]=[C:33]6[F:34])[O:8]5.[CH3:39][O-:40].[ClH:43].[NH2:38][NH:37][C:35]([CH3:36])=[O:42].[Na+:41]>>[CH2:25]1[CH2:26][CH:24]1[C:18]2=[C:16]3[CH2:17][N:12]([C:13](=[O:27])[NH:14][C:15]3=[CH:21][C:20]([C:22]=4[NH:23][C:35]([CH3:36])=[N:37][N:38]=4)=[N:19]2)[C:11]=5[CH:10]=[C:9]6[C:4](=[CH:3][C:2]=5[Cl:1])[CH2:5][CH2:6][CH:7]([C:28]=7[C:33]([F:34])=[CH:32][CH:31]=[CH:30][N:29]=7)[O:8]6
1527,[ClH:27].[F:1][CH:2]([F:12])[O:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:10]=[CH:11]1)[C:8]#[N:9].[O:13]1[CH2:17][CH2:16][O:15][CH:14]1[C:18]=2[CH:26]=[CH:25][CH:24]=[C:20]([C:21]([NH:22][NH2:23])=[O:33])[CH:19]=2.[Na+:31].[Na:32].[O-:30][CH2:29][CH3:28]>>[CH2:16]1[CH2:17][O:13][CH:14]([O:15]1)[C:18]2=[CH:19][C:20]([C:21]=3[NH:9][C:8]([C:7]=4[CH:6]=[CH:5][C:4](=[CH:11][CH:10]=4)[O:3][CH:2]([F:1])[F:12])=[N:23][N:22]=3)=[CH:24][CH:25]=[CH:26]2
1528,[C:14](#[N:21])[C:15]1=[CH:16][CH:17]=[CH:18][CH:19]=[CH:20]1.[C:7]1(=[CH:6][CH:5]=[C:4]2[C:9]([CH2:10][C:2](=[O:1])[NH:3]2)=[CH:8]1)[C:11]([NH:12][NH2:13])=[O:22].[CH3:33][OH:34].[Cl:32][CH:30]([Cl:29])[Cl:31].[K+:27].[K+:28].[O-:25][C:24]([O-:23])=[O:26]>>[CH2:10]1[C:2]([NH:3][C:4]2=[C:9]1[CH:8]=[C:7]([CH:6]=[CH:5]2)[C:11]=3[NH:21][C:14](=[N:13][N:12]=3)[C:15]4=[CH:16][CH:17]=[CH:18][CH:19]=[CH:20]4)=[O:1]
1529,[CH:21]1=[CH:22][C:17]([C:16]#[N:23])=[CH:18][CH:19]=[N:20]1.[CH2:25]1[CH2:26][N:27]=[C:28]2[N:34]([CH2:33][CH2:32][CH2:31][CH2:30][CH2:29]2)[CH2:35]1.[NH:5]([C:6](=[O:15])[C:7]=1[CH:12]=[CH:11][C:10](=[CH:9][C:8]=1[OH:14])[OH:13])[CH2:4][C:3]([NH:1][NH2:2])=[O:24]>>[CH:21]=1[N:20]=[CH:19][CH:18]=[C:17]([C:16]2=[N:2][N:1]=[C:3]([NH:23]2)[CH2:4][NH:5][C:6](=[O:15])[C:7]=3[CH:12]=[CH:11][C:10](=[CH:9][C:8]=3[OH:14])[OH:13])[CH:22]=1
1530,[CH2:35]([CH2:36][CH2:37][OH:38])[CH3:34].[CH:6]1=[CH:7][C:2]([C:1]#[N:8])=[CH:3][CH:4]=[N:5]1.[O:18]1[CH2:19][CH2:20][O:21][C:17]1([C:14]=2[CH:15]=[CH:16][C:11]([O:10][CH3:9])=[CH:12][CH:13]=2)[CH2:22][CH2:23][C:24](=[O:27])[NH:25][NH2:26].[K+:32].[K+:33].[O-:28][C:29]([O-:30])=[O:31]>>[CH2:19]1[CH2:20][O:21][C:17]([O:18]1)([CH2:22][CH2:23][C:24]=2[NH:8][C:1](=[N:26][N:25]=2)[C:2]3=[CH:3][CH:4]=[N:5][CH:6]=[CH:7]3)[C:14]4=[CH:13][CH:12]=[C:11]([CH:16]=[CH:15]4)[O:10][CH3:9]
1531,[CH3:34][C:29]([CH3:28])([O:35][CH2:36][C:37]=1[N:41]=[N:40][NH:39][N:38]=1)[C:30](=[O:31])[O:32][CH3:33].[O:45]=[S:43](=[O:46])([CH3:44])[O:42][CH2:1][CH2:2][CH:3]1[C:4]2=[CH:27][CH:26]=[CH:25][N:5]2[C:6]=3[CH:23]=[CH:22][C:21]([Cl:24])=[CH:20][C:7]=3[CH:8]([C:10]=4[C:11]([O:18][CH3:19])=[C:12]([CH:13]=[CH:14][CH:15]=4)[O:16][CH3:17])[O:9]1.[K+:51].[K+:52].[O-:49][C:48]([O-:47])=[O:50]>>[CH3:28][C:29]([CH3:34])([C:30](=[O:31])[O:32][CH3:33])[O:35][CH2:36][C:37]=1[N:41]=[N:40][N:39]([CH2:1][CH2:2][CH:3]2[C:4]3=[CH:27][CH:26]=[CH:25][N:5]3[C:6]4=[C:7]([CH:20]=[C:21]([Cl:24])[CH:22]=[CH:23]4)[CH:8]([C:10]=5[CH:15]=[CH:14][CH:13]=[C:12]([C:11]=5[O:18][CH3:19])[O:16][CH3:17])[O:9]2)[N:38]=1
1532,[C:2]1(=[N:6][NH:5][N:4]=[N:3]1)[CH3:1].[OH2:43].[O:41]=[S:39](=[O:42])([O:38][CH2:7][CH:8]1[CH2:9][CH2:10][N:11]([CH2:12][CH2:13]1)[C:14]([CH:15]=[CH:16][C:17]2=[C:18]([CH2:24][N:25]3[N:26]=[C:27]([N:28]=[N:29]3)[CH3:30])[CH:19]=[C:20]([CH:21]=[CH:22]2)[Cl:23])=[O:31])[CH3:40].[Cs+:36].[Cs+:37].[O-:32][C:33]([O-:34])=[O:35]>>[CH2:9]1[CH2:10][N:11]([CH2:12][CH2:13][CH:8]1[CH2:7][N:4]2[N:5]=[N:6][C:2](=[N:3]2)[CH3:1])[C:14]([CH:15]=[CH:16][C:17]3=[C:18]([CH2:24][N:25]4[N:26]=[C:27]([CH3:30])[N:28]=[N:29]4)[CH:19]=[C:20]([CH:21]=[CH:22]3)[Cl:23])=[O:31]
1533,[CH:18]1=[CH:17][C:16](=[CH:15][CH:14]=[C:13]1[F:12])[C:19]=2[N:23]=[N:22][NH:21][N:20]=2.[CH3:9][C:8]([CH3:10])([CH3:11])[O:7][C:5](=[O:6])[NH:4][CH:2]([CH3:3])[CH2:1][O:24][S:25](=[O:27])(=[O:28])[CH3:26]>>[CH3:9][C:8]([CH3:10])([CH3:11])[O:7][C:5](=[O:6])[NH:4][CH:2]([CH2:1][N:22]1[N:23]=[C:19]([N:20]=[N:21]1)[C:16]=2[CH:17]=[CH:18][C:13](=[CH:14][CH:15]=2)[F:12])[CH3:3]
1534,[CH3:12][Si:11]([CH3:13])([CH3:14])[CH2:10][CH2:9][O:8][C:7](=[O:15])[NH:6][CH2:5][C:4]1=[CH:3][CH:2]=[C:1]([Br:24])[CH:17]=[CH:16]1.[O:27]=[C:25]([OH:26])[C:23]1=[C:19]([CH3:18])[N:20]=[CH:21][S:22]1.[Cs+:32].[Cs+:33].[O-:28][C:29]([O-:30])=[O:31]>>[CH3:12][Si:11]([CH3:13])([CH3:14])[CH2:10][CH2:9][O:8][C:7](=[O:15])[NH:6][CH2:5][C:4]=1[CH:16]=[CH:17][C:1]([C:23]2=[C:19]([CH3:18])[N:20]=[CH:21][S:22]2)=[CH:2][CH:3]=1
1535,[CH2:20]([CH3:19])[NH:21][CH2:22][CH3:23].[CH3:3][CH:2]([CH3:4])[C:1](=[O:17])[C:5]=1[CH2:10][CH2:9][CH2:8][CH2:7][C:6]=1[OH:18].[NH2:16][C:14](=[O:15])[CH2:13][C:11]#[N:12]>>[CH3:3][CH:2]([CH3:4])[C:1]=1[C:5]2=[C:6]([CH2:7][CH2:8][CH2:9][CH2:10]2)[C:13]([C:11]#[N:12])=[C:14]([OH:15])[N:16]=1
1536,[CH3:17][OH:14].[F:1][C:2]([F:8])([F:7])[C:3](=[CH:4][C:5]([CH3:6])=[O:15])[OH:16].[N:12]#[C:11][CH2:10][C:9]#[N:13]>>[F:1][C:2]([F:8])([F:7])[C:3]1=[C:10]([C:11]#[N:12])[C:9]([OH:14])=[N:13][C:5](=[CH:4]1)[CH3:6]
1537,[C:13]1(=[CH:14][CH:15]=[C:16]([CH:17]=[CH:18]1)[Cl:19])[C:12](=[O:21])[NH:11][NH:10][CH3:9].[CH:7]1=[CH:8][C:3]([C:1]#[N:2])=[CH:4][CH:5]=[N:6]1.[Na:20]>>[CH:8]=1[C:3]([C:1]2=[N:2][C:12](=[N:11][N:10]2[CH3:9])[C:13]3=[CH:14][CH:15]=[C:16]([CH:17]=[CH:18]3)[Cl:19])=[CH:4][CH:5]=[N:6][CH:7]=1
1538,[CH:17]1=[CH:18][C:13](=[CH:14][CH:15]=[N:16]1)[C:12]([NH:11][NH:10][CH3:9])=[O:20].[CH:5]=1[N:4]=[C:3]([C:1]#[N:2])[CH:8]=[CH:7][CH:6]=1.[Na:19]>>[N:4]=1[CH:5]=[CH:6][CH:7]=[CH:8][C:3]=1[C:1]=2[N:10]([N:11]=[C:12]([C:13]3=[CH:14][CH:15]=[N:16][CH:17]=[CH:18]3)[N:2]=2)[CH3:9]
1539,[C:13]1(=[CH:14][CH:15]=[C:16]([CH:17]=[CH:18]1)[Cl:19])[C:12](=[O:21])[NH:11][NH:10][CH3:9].[CH:6]=1[N:5]=[CH:4][C:3]([C:1]#[N:2])=[CH:8][CH:7]=1.[Na:20]>>[C:1]=1([N:10]([N:11]=[C:12]([C:13]2=[CH:14][CH:15]=[C:16]([CH:17]=[CH:18]2)[Cl:19])[N:2]=1)[CH3:9])[C:3]3=[CH:8][CH:7]=[CH:6][N:5]=[CH:4]3
1540,[CH:19](=[CH2:20])[C:21]=1[CH:26]=[CH:25][CH:24]=[CH:23][CH:22]=1.[CH2:3]1[CH2:4][N:5]([CH2:6][CH2:7][C:2]1=[C:1]([F:18])[Br:27])[C:8]2=[C:13]([CH:12]=[CH:11][C:10](=[N:9]2)[CH3:17])[N+:14]([O-:16])=[O:15].[Cl:28][CH2:29][Cl:30]>>[CH2:3]1[CH2:4][N:5]([CH2:6][CH2:7][C:2]1=[C:1]([F:18])[CH:20]=[CH:19][C:21]2=[CH:22][CH:23]=[CH:24][CH:25]=[CH:26]2)[C:8]3=[C:13]([CH:12]=[CH:11][C:10](=[N:9]3)[CH3:17])[N+:14]([O-:16])=[O:15]
1541,[CH2:43]=[CH:42][C:41](=[O:44])[OH:45].[CH2:52]=[CH:51][CH2:50][C:48](=[O:49])[OH:47].[CH3:39][CH:38]([CH3:40])[C:28]1=[N:27][NH:26][C:25](=[C:29]1[CH2:30][C:31]2=[C:32]([CH3:37])[CH:33]=[C:34]([Br:46])[CH:35]=[CH:36]2)[O:24][CH:6]3[O:7][CH:8]([CH2:19][O:20][C:21](=[O:23])[CH3:22])[CH:9]([CH:10]([CH:5]3[O:4][C:1](=[O:3])[CH3:2])[O:11][C:12]([CH3:13])=[O:14])[O:15][C:16](=[O:18])[CH3:17]>>[CH3:39][CH:38]([CH3:40])[C:28]=1[C:29](=[C:25]([NH:26][N:27]=1)[O:24][CH:6]2[O:7][CH:8]([CH2:19][O:20][C:21](=[O:23])[CH3:22])[CH:9]([CH:10]([CH:5]2[O:4][C:1](=[O:3])[CH3:2])[O:11][C:12]([CH3:13])=[O:14])[O:15][C:16](=[O:18])[CH3:17])[CH2:30][C:31]=3[CH:36]=[CH:35][C:34](=[CH:33][C:32]=3[CH3:37])[CH:43]=[CH:42][C:41]([OH:45])=[O:44]
1542,[CH2:33]([CH3:34])[N:30]([CH2:29][CH3:28])[CH2:31][CH3:32].[CH2:3]=[CH:2][C:1](=[O:4])[O:5][CH2:6][CH3:7].[CH3:24][C:23]([CH3:25])([CH3:26])[O:22][C:20]([N:12]1[C:13]([C:14]2=[CH:15][CH:16]=[CH:17][CH:18]=[CH:19]2)=[C:8]([I:35])[C:9]([CH2:10][CH2:11]1)=[O:27])=[O:21].[CH3:36][CH2:37][O:38][CH2:39][CH3:40]>>[CH3:24][C:23]([CH3:25])([CH3:26])[O:22][C:20](=[O:21])[N:12]1[CH2:11][CH2:10][C:9]([C:8]([CH:3]=[CH:2][C:1]([O:5][CH2:6][CH3:7])=[O:4])=[C:13]1[C:14]=2[CH:19]=[CH:18][CH:17]=[CH:16][CH:15]=2)=[O:27]
1543,[C:39]1(=[C:38]([CH3:37])[CH:43]=[CH:42][CH:41]=[CH:40]1)[P:44]([C:52]2=[C:53]([CH3:54])[CH:55]=[CH:56][CH:57]=[CH:58]2)[C:45]3=[C:46]([CH3:47])[CH:48]=[CH:49][CH:50]=[CH:51]3.[CH:2]=1[CH2:3][CH2:4][CH2:5][C:1]=1[C:6]([O:8][CH3:9])=[O:7].[CH3:30][CH:29]([CH3:31])[CH2:28][N:27]([CH2:32][CH:33]([CH3:34])[CH3:35])[C:13]=1[CH:12]=[CH:11][C:10]([Br:36])=[CH:15][C:14]=1[NH:16][C:17](=[O:18])[NH:19][C:20]=2[CH:25]=[CH:24][C:23]([CH3:26])=[CH:22][CH:21]=2>>[CH3:30][CH:29]([CH3:31])[CH2:28][N:27]([CH2:32][CH:33]([CH3:34])[CH3:35])[C:13]=1[CH:12]=[CH:11][C:10]([C:2]=2[CH2:3][CH2:4][CH2:5][C:1]=2[C:6](=[O:7])[O:8][CH3:9])=[CH:15][C:14]=1[NH:16][C:17](=[O:18])[NH:19][C:20]=3[CH:25]=[CH:24][C:23]([CH3:26])=[CH:22][CH:21]=3
1544,[CH2:36]([CH2:37][CH2:38][CH3:39])[CH2:35][CH3:34].[CH2:32]([CH2:31][CH2:30][Li:29])[CH3:33].[CH2:10]([O:11][C:12]1=[CH:13][CH:14]=[C:15]([CH:18]=[C:19]([CH2:20][CH3:21])[C:22]2=[CH:23][CH:24]=[CH:25][CH:26]=[CH:27]2)[CH:16]=[CH:17]1)[CH2:9][Cl:8].[I:28][C:1]1=[CH:2][C:3](=[CH:4][CH:5]=[CH:6]1)[I:7]>>[CH:16]1=[CH:17][C:12](=[CH:13][CH:14]=[C:15]1[C:18](=[C:19]([C:22]2=[CH:27][CH:26]=[CH:25][CH:24]=[CH:23]2)[CH2:20][CH3:21])[C:1]=3[CH:6]=[CH:5][CH:4]=[C:3]([CH:2]=3)[I:7])[O:11][CH2:10][CH2:9][Cl:8]
1545,[CH:6]1=[CH:5][N:4]=[C:3]([CH:8]=[N:7]1)[C:1]#[N:2].[NH:16]([C:15](=[O:19])[C:10]1=[N:9][CH:14]=[CH:13][N:12]=[CH:11]1)[NH2:17].[Na:18]>>[N:16]=1[N:17]=[C:1]([C:3]2=[N:4][CH:5]=[CH:6][N:7]=[CH:8]2)[NH:2][C:15]=1[C:10]3=[N:9][CH:14]=[CH:13][N:12]=[CH:11]3
1546,[CH:32]([NH:33][NH2:34])=[O:40].[CH2:8]1[CH2:9][N:10]([CH2:11][CH2:12][N:7]1[C:5]([C:4]=2[C:3]([F:31])=[C:2]([CH:30]=[CH:29][CH:28]=2)[Cl:1])=[O:6])[CH2:13][C:14]=3[CH:15]=[C:16]([C:17]#[N:18])[CH:19]=[C:20]([N:21]=3)[NH:22][C:23]=4[S:24][CH:25]=[CH:26][N:27]=4.[CH3:38][OH:39].[CH3:35][O-:36].[Na+:37]>>[CH2:8]1[CH2:9][N:10]([CH2:11][CH2:12][N:7]1[C:5]([C:4]=2[C:3]([F:31])=[C:2]([CH:30]=[CH:29][CH:28]=2)[Cl:1])=[O:6])[CH2:13][C:14]3=[CH:15][C:16](=[CH:19][C:20]([NH:22][C:23]=4[S:24][CH:25]=[CH:26][N:27]=4)=[N:21]3)[C:17]=5[NH:18][CH:32]=[N:33][N:34]=5
1547,[CH:31]([NH:32][NH2:33])=[O:36].[F:28][CH:27]([F:29])[O:26][C:25]1=[C:4]([O:3][CH:2]([F:1])[F:30])[CH:5]=[C:6]([CH:23]=[CH:24]1)[N:7]([CH2:8][C:9]=2[CH:10]=[N:11][CH:12]=[CH:13][CH:14]=2)[C:15]=3[CH:20]=[CH:19][CH:18]=[C:17]([C:21]#[N:22])[CH:16]=3.[H-:34].[Na+:35]>>[F:28][CH:27]([F:29])[O:26][C:25]=1[CH:24]=[CH:23][C:6]([N:7]([C:15]=2[CH:20]=[CH:19][CH:18]=[C:17]([C:21]3=[N:33][N:32]=[CH:31][NH:22]3)[CH:16]=2)[CH2:8][C:9]=4[CH:10]=[N:11][CH:12]=[CH:13][CH:14]=4)=[CH:5][C:4]=1[O:3][CH:2]([F:1])[F:30]
1548,[CH2:22]([CH3:21])[N:23]([CH2:24][CH3:25])[CH2:26][CH3:27].[CH:16]([NH:17][NH2:18])=[O:20].[ClH:19].[F:1][C:2]([F:14])([F:15])[O:3][C:4]=1[CH:13]=[CH:12][C:7]([CH:8]=[CH:9][C:10]#[N:11])=[CH:6][CH:5]=1>>[F:1][C:2]([F:14])([F:15])[O:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:12]=[CH:13]1)[CH:8]=[CH:9][C:10]2=[N:18][N:17]=[CH:16][NH:11]2
1549,[CH2:24]([CH2:25][CH2:26][CH3:27])[CH2:23][CH3:22].[CH:20]([NH:19][NH2:18])=[O:21].[CH:13]1=[CH:14][C:9](=[CH:10][CH:11]=[CH:12]1)[CH2:8][O:7][C:6]=2[CH:5]=[C:4]([CH:17]=[CH:16][CH:15]=2)[CH2:3][C:2]#[N:1].[K+:28].[K+:29].[O-:32][C:31]([O-:30])=[O:33]>>[CH:13]1=[CH:14][C:9](=[CH:10][CH:11]=[CH:12]1)[CH2:8][O:7][C:6]=2[CH:15]=[CH:16][CH:17]=[C:4]([CH2:3][C:2]=3[NH:1][CH:20]=[N:19][N:18]=3)[CH:5]=2
1550,[CH:8]1=[C:7]2[C:2](=[C:1]([CH:10]=[CH:9]1)[Br:37])[CH:3]=[CH:4][N:5]=[C:6]2[NH:11][C:12]=3[CH:13]=[C:14]4[CH:15]=[CH:16][CH:17]=[N:18][C:19]4=[CH:20][CH:21]=3.[CH:67]1=[C:66]2[C:50](=[C:49]([CH:69]=[CH:68]1)[C:46]=3[CH:47]=[CH:48][C:42](=[C:43]([F:44])[CH:45]=3)[OH:41])[CH:51]=[CH:52][N:53]=[C:54]2[NH:55][C:56]=4[CH:65]=[C:64]5[CH:63]=[CH:62][CH:61]=[N:60][C:59]5=[CH:58][CH:57]=4.[OH:38][B:39]([OH:40])[C:33]1=[CH:32][C:31](=[C:30]([CH:35]=[CH:34]1)[O:29][CH2:22][C:23]2=[CH:24][CH:25]=[CH:26][CH:27]=[CH:28]2)[F:36]>>[CH:8]1=[C:7]2[C:2](=[C:1]([CH:10]=[CH:9]1)[C:33]=3[CH:34]=[CH:35][C:30](=[C:31]([F:36])[CH:32]=3)[O:29][CH2:22][C:23]4=[CH:28][CH:27]=[CH:26][CH:25]=[CH:24]4)[CH:3]=[CH:4][N:5]=[C:6]2[NH:11][C:12]=5[CH:13]=[C:14]6[CH:15]=[CH:16][CH:17]=[N:18][C:19]6=[CH:20][CH:21]=5
1551,[NH2:1][NH2:2].[O:17]=[C:16]([OH:18])[C:15]1=[C:10]([C:3](=[O:19])[C:4]2=[CH:5][CH:6]=[CH:7][CH:8]=[CH:9]2)[N:11]=[CH:12][CH:13]=[CH:14]1>>[CH:14]=1[CH:13]=[CH:12][N:11]=[C:10]2[C:15]=1[C:16]([NH:2][NH:1][CH:3]2[C:4]=3[CH:9]=[CH:8][CH:7]=[CH:6][CH:5]=3)=[O:17]
1552,[CH2:25]([CH2:26][O:27][CH3:28])[O:24][CH3:23].[F:8][C:7]([F:9])([F:10])[C:4]1=[CH:3][CH:2]=[C:1]([Br:19])[CH:6]=[CH:5]1.[O:22]=[C:21]([OH:20])[C:16]1=[CH:15][CH:14]=[C:13]([CH:18]=[CH:17]1)[CH:11]=[O:12].[Na+:33].[Na+:34].[O-:29][C:30]([O-:31])=[O:32]>>[F:8][C:7]([F:9])([F:10])[C:4]1=[CH:3][CH:2]=[C:1]([C:16]=2[CH:17]=[CH:18][C:13]([CH:11]=[O:12])=[CH:14][CH:15]=2)[CH:6]=[CH:5]1
1553,[CH2:33]1[CH2:34][O:35][CH2:30][CH2:31][O:32]1.[O:6]=[C:5]([OH:7])[C:4]1=[C:3]([Cl:10])[CH:2]=[C:1]([Br:20])[CH:9]=[CH:8]1.[O:23]=[C:21]([OH:22])[C:16]1=[C:15]([O:18][CH3:19])[CH:14]=[CH:13][C:12]([Cl:11])=[CH:17]1.[Na+:28].[Na+:29].[O-:24][C:25]([O-:26])=[O:27]>>[C:16]1([C:1]=2[CH:9]=[CH:8][C:4](=[C:3]([Cl:10])[CH:2]=2)[C:5](=[O:6])[OH:7])=[C:15]([O:18][CH3:19])[CH:14]=[CH:13][C:12]([Cl:11])=[CH:17]1
1554,[CH2:45]([CH3:44])[C:46]([CH3:47])=[O:48].[N:20]1([CH2:24][C:23](=[O:25])[NH:22][C:21]1=[O:26])[CH3:19].[O:29]=[S:28](=[O:30])([O:27][CH2:1][CH:2]1[CH2:3][N:4]([CH:5]2[CH2:6][C:7]3=[CH:8][NH:9][C:10]=4[CH:11]=[CH:12][CH:13]=[C:14]([C:17]3=4)[CH:15]2[CH2:16]1)[CH3:18])[C:31]=5[CH:37]=[CH:36][C:34](=[CH:33][CH:32]=5)[CH3:35].[K+:42].[K+:43].[O-:40][C:39]([O-:38])=[O:41]>>[CH2:3]1[CH:2]([CH2:1][N:22]2[C:21](=[O:26])[N:20]([CH3:19])[CH2:24][C:23]2=[O:25])[CH2:16][CH:15]3[CH:5]([CH2:6][C:7]=4[C:17]5=[C:10]([NH:9][CH:8]=4)[CH:11]=[CH:12][CH:13]=[C:14]35)[N:4]1[CH3:18]
1555,[CH3:32][C:31]([CH3:33])([CH3:30])[O:34][C:35](=[O:36])[NH:37][C:38](=[O:39])[O:40][C:41]([CH3:42])([CH3:43])[CH3:44].[O:53]=[S:52](=[O:54])([O:55][CH2:1][CH2:2][O:3][CH2:4][CH2:5][O:6][C:7]=1[CH:12]=[CH:11][C:10]([O:13][CH2:14][C:15]2=[CH:16][CH:17]=[CH:18][CH:19]=[CH:20]2)=[C:9]([CH:8]=1)[C:21](=[O:22])[NH:23][C:24]3=[CH:29][CH:28]=[CH:27][N:26]=[CH:25]3)[C:49]=4[CH:50]=[CH:51][C:46]([CH3:45])=[CH:47][CH:48]=4.[Cs+:60].[Cs+:61].[O-:56][C:57]([O-:58])=[O:59]>>[CH3:30][C:31]([CH3:32])([CH3:33])[O:34][C:35](=[O:36])[N:37]([C:38]([O:40][C:41]([CH3:42])([CH3:43])[CH3:44])=[O:39])[CH2:1][CH2:2][O:3][CH2:4][CH2:5][O:6][C:7]1=[CH:8][C:9]([C:21]([NH:23][C:24]2=[CH:29][CH:28]=[CH:27][N:26]=[CH:25]2)=[O:22])=[C:10]([O:13][CH2:14][C:15]3=[CH:20][CH:19]=[CH:18][CH:17]=[CH:16]3)[CH:11]=[CH:12]1
1556,[CH3:33][N:32]([CH3:31])[CH:34]=[O:35].[O:20]=[C:18]1[C:17]=2[CH:21]=[CH:22][CH:23]=[CH:24][C:16]=2[C:15](=[O:25])[NH:19]1.[O:28]=[S:27](=[O:29])([CH3:26])[O:30][CH2:1][C:2]([F:13])([F:14])[CH2:3][CH2:4][O:5][CH2:6][C:7]=1[CH:12]=[CH:11][CH:10]=[CH:9][CH:8]=1.[K:36]>>[O:20]=[C:18]1[C:17]2=[C:16]([CH:24]=[CH:23][CH:22]=[CH:21]2)[C:15](=[O:25])[N:19]1[CH2:1][C:2]([F:13])([F:14])[CH2:3][CH2:4][O:5][CH2:6][C:7]=3[CH:12]=[CH:11][CH:10]=[CH:9][CH:8]=3
